9	9
5	6
9	9
1	2
5	5
5	5
16	16
15	15
1	2
1	2
1	2
5	5
6	6
6	6
5	5
5	5
7	8
6	7
7	7
3	4
5	6
1	2
2	2
1	1
13	13
11	11
10	10
10	10
15	15
14	14
4	5
5	5
1	2
1	2
8	9
6	7
9	9
5	5
17	17
16	16
9	9
5	7
8	9
6	7
8	8
4	4
16	16
16	16
5	6
7	7
9	9
8	8
18	18
5	7
8	8
6	7
10	10
6	7
8	8
1	2
5	5
1	4
16	16
6	6
7	7
5	6
1	1
1	1
9	9
8	8
8	8
6	6
6	6
2	3
8	8
8	8
11	11
4	5
9	9
9	9
8	8
3	3
11	11
1	2
4	4
1	1
9	9
9	9
4	4
3	3
6	7
2	3
1	2
11	12
13	13
11	11
5	5
16	16
11	11
9	9
7	7
6	7
1	2
5	6
2	3
1	2
3	4
3	4
3	5
2	4
7	7
7	7
7	8
5	6
12	13
13	13
11	11
11	11
8	8
7	7
9	10
13	15
7	7
7	7
9	9
6	6
5	6
1	2
13	13
1	2
1	2
1	2
14	15
10	11
3	4
3	4
6	7
6	7
3	3
1	1
3	3
3	3
9	9
8	8
3	3
1	2
5	5
4	4
7	8
10	10
13	13
6	7
9	9
9	9
3	3
3	3
4	5
4	5
6	6
11	11
1	2
1	2
1	1
1	2
4	4
4	4
10	10
3	4
25	25
41	41
7	7
2	2
26	27
20	20
5	8
1	2
1	2
1	2
6	6
2	3
12	12
10	10
16	16
1	3
18	18
17	17
7	8
5	6
15	15
6	6
8	8
7	7
4	4
5	6
4	4
4	5
13	14
5	5
1	1
3	3
4	4
2	2
5	5
2	3
20	20
11	12
9	9
1	1
1	2
1	2
9	10
4	4
20	20
20	20
12	12
10	10
13	13
12	12
1	1
1	1
3	4
3	4
26	27
25	26
14	14
2	3
4	5
3	4
5	5
8	9
4	5
1	1
15	16
10	11
11	11
10	10
9	9
12	12
1	2
1	2
6	6
1	4
6	6
5	5
11	12
10	11
11	11
9	9
3	3
3	3
7	8
8	8
1	2
1	2
4	5
4	5
12	13
11	12
7	7
3	3
11	12
10	11
6	6
10	10
6	6
5	5
4	4
6	7
11	11
10	10
30	30
10	11
4	5
3	4
10	10
9	9
3	3
9	10
1	2
1	2
8	8
4	4
11	11
10	10
16	16
5	5
2	2
4	5
8	9
8	9
5	6
5	6
11	11
3	4
1	1
17	17
7	7
1	4
4	4
6	6
1	1
1	1
10	11
9	10
11	11
10	10
1	2
1	2
13	13
13	13
4	4
8	8
15	15
15	15
18	18
17	17
9	10
4	5
1	1
1	2
5	5
3	3
6	6
5	5
4	4
1	2
21	21
13	13
16	16
4	4
5	5
8	8
4	5
1	2
1	3
1	1
15	16
14	15
14	14
5	5
10	10
10	10
11	11
5	6
6	6
1	2
10	10
9	9
12	13
17	17
9	9
7	7
3	3
1	2
5	5
5	6
4	4
2	2
11	11
11	11
12	12
11	11
8	8
11	12
8	8
7	7
1	2
13	13
8	8
1	2
1	1
7	7
1	2
1	2
3	3
1	2
7	8
12	12
13	14
16	16
7	8
6	7
6	6
5	5
1	2
4	6
4	4
4	4
6	6
6	6
9	10
3	4
7	7
6	6
5	5
16	16
5	5
4	4
14	15
3	4
3	4
7	7
5	5
5	7
10	10
8	8
9	9
9	9
14	14
13	13
1	2
1	2
5	6
5	6
6	6
2	2
3	3
2	2
10	11
11	11
11	11
2	3
1	1
1	1
12	12
11	11
8	8
8	8
9	9
8	8
12	12
11	11
4	5
2	3
5	5
1	2
8	9
6	6
4	4
2	2
13	13
10	10
12	15
17	17
7	8
7	10
8	8
5	5
3	4
7	8
6	6
7	8
5	5
1	2
16	16
15	15
15	15
4	5
5	5
1	2
21	21
17	17
6	6
13	15
1	2
10	10
8	9
6	7
16	16
24	24
1	1
4	4
9	10
11	11
6	6
7	7
7	8
1	2
4	4
7	7
14	14
13	13
14	15
15	15
5	5
5	5
1	2
1	2
5	5
1	2
3	4
3	4
6	6
8	9
7	7
5	5
4	4
4	4
6	6
6	6
6	6
1	1
24	24
23	23
7	7
2	2
2	2
2	3
1	2
1	2
8	9
5	5
3	3
2	2
11	11
2	3
8	9
9	9
3	3
3	3
12	13
11	12
6	7
6	7
14	14
13	13
10	10
9	9
9	9
5	6
18	18
5	5
4	4
6	6
10	10
3	5
13	13
12	12
4	5
4	5
5	5
5	5
12	12
2	3
4	4
1	1
1	2
1	2
17	18
1	2
11	11
26	26
5	5
1	1
2	3
4	5
8	8
5	5
4	5
5	5
